JAVA;Uprava zamestnance 5k;4229.821456
JAVA;Uprava zamestnance 6k;4384.782762
JAVA;Uprava zamestnance 7k;4462.047450
JAVA;Uprava zamestnance 8k;4687.609566
JAVA;Uprava zamestnance 9k;4940.262053
JAVA;Uprava zamestnance 10k;4967.885145
JAVA;Uprava zamestnance 11k;5309.827881
JAVA;Uprava zamestnance 12k;5469.653757
JAVA;Uprava zamestnance 13k;5487.558915
JAVA;Uprava zamestnance 14k;5698.673834
JAVA;Uprava zamestnance 15k;6080.800652
JAVA;Uprava zamestnance 16k;6100.205860
JAVA;Uprava zamestnance 17k;6354.782326
JAVA;Uprava zamestnance 18k;6550.888849
JAVA;Uprava zamestnance 19k;6776.841787
JAVA;Uprava zamestnance 20k;6822.048215
JAVA;Uprava zamestnance 21k;7023.289237
JAVA;Uprava zamestnance 22k;7161.906564
JAVA;Uprava zamestnance 23k;7517.710611
JAVA;Uprava zamestnance 24k;7735.229021
JAVA;Uprava zamestnance 25k;7812.615275
JAVA;Uprava zamestnance 26k;8082.452569
JAVA;Uprava zamestnance 27k;8199.747925
JAVA;Uprava zamestnance 28k;8387.444588
JAVA;Uprava zamestnance 29k;8734.111503
JAVA;Uprava zamestnance 30k;8863.410507
JAVA;Uprava zamestnance 31k;9039.714099
JAVA;Uprava zamestnance 32k;9182.352139
JAVA;Uprava zamestnance 33k;9426.151915
JAVA;Uprava zamestnance 34k;9605.692864
JAVA;Uprava zamestnance 35k;9904.137808
JAVA;Uprava zamestnance 36k;10029.955686
JAVA;Uprava zamestnance 37k;10243.467182
JAVA;Uprava zamestnance 38k;10433.443132
JAVA;Uprava zamestnance 39k;10645.811441
JAVA;Uprava zamestnance 40k;10657.383911
