JAVA;100;seq;LIKE;1;20;611826;123997
JAVA;200;seq;LIKE;1;119;876480;136703
JAVA;500;seq;LIKE;1;176;724854;227450
JAVA;1000;seq;LIKE;1;272;1123048;682250
JAVA;2000;seq;LIKE;1;1271;1991118;818264
JAVA;5000;seq;LIKE;1;2084;2958637;2180948
JAVA;7500;seq;LIKE;1;2802;4613123;3289741
JAVA;10000;seq;LIKE;1;3440;5643507;3756353
JAVA;15000;seq;LIKE;1;8440;6828930;4655040
JAVA;20000;seq;LIKE;1;13439;9288037;6087857
JAVA;25000;seq;LIKE;1;15523;10995104;6464512
JAVA;30000;seq;LIKE;1;16878;14189315;8462424
JAVA;40000;seq;LIKE;1;20317;19277976;11481561
JAVA;50000;seq;LIKE;1;23756;21699105;14044219
JAVA;75000;seq;LIKE;1;32718;29885021;20873152
JAVA;100000;seq;LIKE;1;40952;36265436;28170020
JAVA;150000;seq;LIKE;1;90952;48086911;41549181
JAVA;200000;seq;LIKE;1;140951;58315244;52845971
JAVA;250000;seq;LIKE;1;164707;72372576;66153272
