4048;DB;100;seq;LIKEE;10;2;71211438;2328370
4048;DB;200;seq;LIKEE;10;11;81803450;4463355
4048;DB;500;seq;LIKEE;10;11;80517165;4824814
4048;DB;1000;seq;LIKEE;10;12;122854663;3613878
4048;DB;2000;seq;LIKEE;10;111;130857023;5933569
4048;DB;5000;seq;LIKEE;10;111;123600427;5258154
4048;DB;7500;seq;LIKEE;10;111;87889443;3372439
4048;DB;10000;seq;LIKEE;10;112;88933106;3148662
4048;DB;15000;seq;LIKEE;10;1111;133700414;13855690
4048;DB;20000;seq;LIKEE;10;1111;130863911;12327502
4048;DB;25000;seq;LIKEE;10;1111;155827200;12251594
4048;DB;30000;seq;LIKEE;10;1111;142097139;12596112
4048;DB;40000;seq;LIKEE;10;1111;178845509;14966159
4048;DB;50000;seq;LIKEE;10;1111;102828733;15067500
4048;DB;75000;seq;LIKEE;10;1111;171166566;19223780
4048;DB;100000;seq;LIKEE;10;1112;168560732;25095590
4048;DB;150000;seq;LIKEE;10;11111;243853056;82681471
4048;DB;200000;seq;LIKEE;10;11111;238077274;97287845
4048;DB;250000;seq;LIKEE;10;11111;268099994;102622000
4048;DB;500000;seq;LIKEE;10;11111;303027233;147070552
4048;DB;1000000;seq;LIKEE;10;11112;745078592;236502190
